Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2019,1,1,0,0,0,0,0,-5.3,18.1,925,19.89,106,1.1
2019,1,1,1,0,0,0,0,-5.9,17.7,925,19.5,109,1.1
2019,1,1,2,0,0,0,0,-6.5,17.1,925,19.33,107,1.2
2019,1,1,3,0,0,0,0,-7.5,16.5,925,18.6,102,1.2
2019,1,1,4,0,0,0,0,-8.8,16.3,925,17.07,93,1.3
2019,1,1,5,0,0,0,0,-9.9,16.3,926,15.57,87,1.3
2019,1,1,6,0,21,453,51,-10.1,19.2,926,12.78,85,0.9
2019,1,1,7,0,46,818,262,-11.2,25.2,926,8.15,96,1.2
2019,1,1,8,0,60,962,502,-10.8,28.5,926,6.91,218,0.5
2019,1,1,9,0,70,1035,732,-12,30.9,926,5.5,258,1.8
2019,1,1,10,0,77,1076,928,-11.6,32.8,926,5.09,259,3.1
2019,1,1,11,0,89,1083,1067,-9.5,33.7,926,5.72,257,3.9
2019,1,1,12,0,94,1086,1146,-6.8,34.1,926,6.88,251,4
2019,1,1,13,0,96,1087,1163,-5.1,34.3,926,7.73,247,3.7
2019,1,1,14,0,99,1067,1106,-4.3,34.2,925,8.28,246,3.6
2019,1,1,15,0,96,1046,991,-3.6,33.3,925,9.15,243,3.5
2019,1,1,16,0,89,1005,817,-2.7,32.2,925,10.47,238,3.3
2019,1,1,17,0,78,945,606,-1.8,31.2,925,11.78,234,3.1
2019,1,1,18,0,66,822,370,-0.8,29.4,926,14.11,230,2.9
2019,1,1,19,0,44,580,142,0.7,26.3,926,18.88,219,1.5
2019,1,1,20,0,0,0,0,1.9,23.8,926,23.83,195,0.8
2019,1,1,21,0,0,0,0,1.7,22.9,927,24.73,169,0.7
2019,1,1,22,0,0,0,0,1.4,22.4,927,24.96,172,0.8
2019,1,1,23,0,0,0,0,1.3,21.5,926,26.28,163,0.8
2019,1,2,0,0,0,0,0,1.2,20.5,926,27.62,143,0.8
2019,1,2,1,0,0,0,0,0.9,19.9,925,28.15,137,0.8
2019,1,2,2,0,0,0,0,0.7,18.4,925,30.34,131,1
2019,1,2,3,0,0,0,0,0.2,17.6,925,30.85,120,1.1
2019,1,2,4,0,0,0,0,-0.5,17.7,926,29.07,111,1.1
2019,1,2,5,0,0,0,0,-1.2,17.6,926,27.83,94,1.1
2019,1,2,6,0,21,381,46,-1.6,20.3,927,22.86,81,0.9
2019,1,2,7,0,49,763,249,-2.2,25.3,927,16.22,75,1.4
2019,1,2,8,0,65,915,484,-3.6,28.5,927,12.04,319,0.4
2019,1,2,9,0,78,990,709,-4.5,30.7,927,9.95,275,1.7
2019,1,2,10,0,87,1033,903,-4.2,32.4,927,9.21,269,2.6
2019,1,2,11,0,91,1061,1048,-3.7,33.5,927,9.02,263,3.1
2019,1,2,12,0,453,530,966,-3.1,33.8,927,9.23,255,3.3
2019,1,2,13,0,480,425,897,-3,33.8,927,9.3,246,3.3
2019,1,2,14,0,97,1066,1103,-3.4,33.7,927,9.13,236,3.2
2019,1,2,15,0,290,686,877,-4.2,33.5,927,8.7,226,3.1
2019,1,2,16,0,324,405,618,-5.1,32.8,927,8.4,218,3.1
2019,1,2,17,0,136,706,531,-5.9,31.9,927,8.33,211,2.9
2019,1,2,18,0,100,579,315,-6.4,30.3,927,8.8,206,2.3
2019,1,2,19,0,43,617,148,-5,27.1,927,11.77,199,0.8
2019,1,2,20,0,0,0,0,-4.9,24.9,927,13.52,138,0.7
2019,1,2,21,0,0,0,0,-5.6,23.4,927,14.05,104,0.9
2019,1,2,22,0,0,0,0,-6.1,22.2,926,14.52,96,1
2019,1,2,23,0,0,0,0,-6.7,21.3,926,14.64,95,1.1
2019,1,3,0,0,0,0,0,-7.5,20.5,926,14.53,94,1.2
2019,1,3,1,0,0,0,0,-8.2,20.2,925,14,94,1.3
2019,1,3,2,0,0,0,0,-8.9,19.8,925,13.54,94,1.3
2019,1,3,3,0,0,0,0,-9.7,19,924,13.37,94,1.4
2019,1,3,4,0,0,0,0,-10.5,18.3,924,13.13,94,1.5
2019,1,3,5,0,0,0,0,-11.4,17.9,925,12.53,91,1.5
2019,1,3,6,0,19,480,49,-12.1,21.3,925,9.62,89,1.3
2019,1,3,7,0,41,864,265,-14.3,28,925,5.38,100,1.8
2019,1,3,8,0,52,1002,509,-18.8,31.1,925,3.09,163,1.1
2019,1,3,9,0,60,1073,742,-20.4,32.9,925,2.43,219,1.9
2019,1,3,10,0,65,1113,941,-20.4,34.2,925,2.27,236,2.8
2019,1,3,11,0,76,1117,1081,-20.3,35.4,926,2.14,242,3.4
2019,1,3,12,0,79,1127,1169,-19.6,36.3,925,2.15,246,3.7
2019,1,3,13,0,83,1127,1189,-18.5,36.9,925,2.29,247,3.8
2019,1,3,14,0,88,1113,1138,-17.2,36.9,925,2.56,247,3.9
2019,1,3,15,0,89,1076,1011,-15.9,36.4,925,2.94,247,3.9
2019,1,3,16,0,89,1029,836,-14.8,35.3,925,3.42,244,3.7
2019,1,3,17,0,84,953,618,-13.8,33.7,925,4.06,239,3.3
2019,1,3,18,0,72,825,378,-12.5,31.6,925,5.07,232,2.7
2019,1,3,19,0,46,577,145,-8.8,27,925,8.86,225,1.1
2019,1,3,20,0,0,0,0,-6.8,24.1,926,12.24,151,0.7
2019,1,3,21,0,0,0,0,-7.5,21.7,926,13.49,102,1
2019,1,3,22,0,0,0,0,-8.8,20.6,926,13.01,96,1.1
2019,1,3,23,0,0,0,0,-10.3,20,925,12.03,98,1.2
2019,1,4,0,0,0,0,0,-11.8,19.5,925,10.99,100,1.3
2019,1,4,1,0,0,0,0,-13.2,19.3,924,9.96,99,1.3
2019,1,4,2,0,0,0,0,-14.1,19.3,924,9.26,98,1.3
2019,1,4,3,0,0,0,0,-14.8,19,924,8.89,96,1.3
2019,1,4,4,0,0,0,0,-15.5,18.4,924,8.72,92,1.4
2019,1,4,5,0,0,0,0,-16,17.6,925,8.77,85,1.4
2019,1,4,6,0,20,437,46,-15.7,20,925,7.76,78,1.1
2019,1,4,7,0,48,828,260,-16.5,26.6,926,4.85,73,1.7
2019,1,4,8,0,64,974,505,-15.9,30.3,926,4.11,341,0.8
2019,1,4,9,0,75,1032,730,-16.5,32.4,926,3.5,288,2.1
2019,1,4,10,0,84,1073,928,-15.4,33.8,926,3.52,279,2.9
2019,1,4,11,0,90,1098,1078,-13.4,34.8,926,3.92,277,3.3
2019,1,4,12,0,93,1100,1156,-10.9,35.4,926,4.64,276,3.6
2019,1,4,13,0,95,1093,1168,-8.2,35.7,926,5.66,274,3.8
2019,1,4,14,0,96,1077,1112,-5.5,35.4,926,7.06,271,4
2019,1,4,15,0,94,1048,992,-3.3,34.6,926,8.7,266,3.8
